lecture_number,pdf_filename,title,subtitle,full_title,rnw_filename,basename
01,L01-course-organisation-intro-R-julia.pdf,General information about the course & (brief) Introduction to R and julia,MATH 8xyz -- Lecture 01,General information about the course & (brief) Introduction to R and julia: MATH 8xyz -- Lecture 01,L01-course-organisation-intro-R-julia.Rnw,L01-course-organisation-intro-R-julia
02,L02-epidemiology-math-epi.pdf,Epidemiology & A brief history of Mathematical epidemiology,MATH 8xyz -- Lecture 02,Epidemiology & A brief history of Mathematical epidemiology: MATH 8xyz -- Lecture 02,L02-epidemiology-math-epi.Rnw,L02-epidemiology-math-epi
03,L03-compartmental-models.pdf,Compartmental models,MATH 8xyz -- Lecture 03,Compartmental models: MATH 8xyz -- Lecture 03,L03-compartmental-models.Rnw,L03-compartmental-models
04,L04-KMK-intro.pdf,The Kermack-McKendrick model,MATH 8xyz -- Lecture 04,The Kermack-McKendrick model: MATH 8xyz -- Lecture 04,L04-KMK-intro.Rnw,L04-KMK-intro
05,L05-KMK-more.pdf,Extensions of the Kermack-McKendrick model,MATH 8xyz -- Lecture 05,Extensions of the Kermack-McKendrick model: MATH 8xyz -- Lecture 05,L05-KMK-more.Rnw,L05-KMK-more
06,L06-sojourn-times.pdf,Sojourn time in compartments,MATH 8xyz -- Lecture 06,Sojourn time in compartments: MATH 8xyz -- Lecture 06,L06-sojourn-times.Rnw,L06-sojourn-times
07,L07-endemic-SIRS.pdf,The endemic SIRS model,MATH 8xyz -- Lecture 07,The endemic SIRS model: MATH 8xyz -- Lecture 07,L07-endemic-SIRS.Rnw,L07-endemic-SIRS
08,L08-PvdD-Watmough.pdf,Next generation matrix method for computing $_0$,MATH 8xyz -- Lecture 08,Next generation matrix method for computing $_0$: MATH 8xyz -- Lecture 08,L08-PvdD-Watmough.Rnw,L08-PvdD-Watmough
09,L09-endemic-SLIRS.pdf,The endemic SLIRS model,MATH 8xyz -- Lecture 07,The endemic SLIRS model: MATH 8xyz -- Lecture 07,L09-endemic-SLIRS.Rnw,L09-endemic-SLIRS
15,L15-incidence-functions.pdf,Incidence functions,MATH 8xyz -- Lecture 10,Incidence functions: MATH 8xyz -- Lecture 10,L15-incidence-functions.Rnw,L15-incidence-functions
